date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_3_fourier,yt_pred_mlp_8,yt_pred_stacked_mlp,yt_pred_d1d13_ar13,yt_pred_d1d12_mlp
1946-01-01,1095.0249999999992,1444.1986161805062,1197.3892389014318,890,1138.2402635831295,,,,
1946-02-01,1077.3934210526309,1417.7272045877262,1182.2558001361886,992,1250.6692805200803,,,,
1946-03-01,1214.0776315789465,1545.5715803337523,1321.1474334396958,979,1282.0046880942152,,,,
1946-04-01,1322.1302631578938,1644.784376276875,1431.116770390892,959,1425.215084314773,,,,
1946-05-01,1385.0249999999992,1698.8392767431887,1495.6374952003082,1110,1564.7241622380154,,,,
1946-06-01,1539.4986842105254,1844.473122881761,1651.4464499732069,1546,1531.9319146678704,,,,
1946-07-01,1929.709210526315,2225.843808421343,2042.70152944643,1539,2199.885663947836,,,,
1946-08-01,3034.4986842105254,3321.7934352765687,3148.244838883135,3401,2989.3103428884,,,,
1946-09-01,2284.709210526315,2563.1641266766187,2398.918483546479,2092,2535.8518322346945,,,,
1946-10-01,1815.6565789473675,2085.271657162995,1930.0382529101475,1436,1845.1812415880072,,,,
1946-11-01,1636.130263157894,1896.9055003584444,1750.3936206583512,1301,1778.866749228918,,,,
1946-12-01,1397.6039473684202,1649.5393429107244,1511.4582710016166,1287,1539.9901752271896,,,,
1947-01-01,1220.817543859648,1464.404198859496,1362.5325221780945,1488,1302.4547672028682,,,,
1947-02-01,1203.1859649122798,1438.9149915567689,1344.92498077752,1517,1412.4301273552303,1260.8287581197694,1205.9091766608774,,
1947-03-01,1339.8701754385957,1567.741571592847,1481.3748133795782,1707,1441.3439891327434,1360.0203665067077,1282.3323781895372,,
1947-04-01,1447.922807017543,1667.9365718260224,1588.9346515632076,1729,1582.1649505446462,1434.9276830258298,1273.4332926946756,,
1947-05-01,1510.817543859648,1722.9736765823886,1651.078179538939,1788,1719.3167046472,1488.1159796137483,1335.6017470015545,,
1947-06-01,1665.2912280701746,1869.5897270110136,1804.542239412035,2008,1684.199244244333,1665.903380475544,1497.3697155066302,,
1947-07-01,2055.501754385964,2251.942616840648,2193.484725919337,2203,2349.8598916795427,1959.156023878685,1863.9579449148584,,
1947-08-01,3160.291228070175,3348.8744479859265,3296.747744324004,3713,3137.0235797633186,2746.7774581373724,2894.159199623362,,
